PooledFundName,PooledFundId,FiscalYear,DonorName,DonorCode,GMSDonorId,GMSDonorName,ContributionAmt,ContributionPercent
Ethiopia,53,2026,Government of Canada,119,7,Canada,2126330.86,1.64000
Somalia,21,2026,Government of Denmark,5,8,Denmark,4714206.72,11.46000
Lebanon,71,2026,Government of Italy,9,14,Italy,2290950.74,5.31000
DRC,24,2026,Government of Netherlands,11,16,Netherlands,9142857.15,2.24000
Ukraine,81,2026,Government of Denmark,5,8,Denmark,6989355.37,1.66000
Lebanon,71,2026,Government of Canada,119,7,Canada,2482154.28,5.75000
Chad (RhPF-WCA),90,2026,United States,102,102,United States,100000000.00,94.29000
Nigeria,75,2026,Sida,20,22,Sweden,1812723.81,0.78000
Haiti (RhPF-LAC),88,2026,Government of Luxembourg,10,15,Luxembourg,343642.61,0.17000
Yemen,64,2026,Government of Philippines,85,85,Philippines,100000.00,0.29000
Somalia,21,2026,Government of Netherlands,11,16,Netherlands,14857142.86,36.12000
Ukraine,81,2026,Government of Netherlands,11,16,Netherlands,14857142.86,3.52000
Colombia (RhPF-LAC),87,2026,Government of Germany,7,11,Germany,585480.09,0.29000
DRC,24,2026,United States,102,102,United States,375000000.00,91.89000
Haiti (RhPF-LAC),88,2026,United States,102,102,United States,200000000.00,98.68000
Ethiopia,53,2026,Government of Luxembourg,10,15,Luxembourg,286368.84,0.22000
Guatemala (RhPF-LAC),508,2026,United States,102,102,United States,60000000.00,100.00000
oPt,67,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),1098720.59,1.77000
Yemen,64,2026,Iceland,55,55,Iceland,485184.10,1.40000
Honduras (RhPF-LAC),510,2026,United States,102,102,United States,65000000.00,100.00000
Myanmar,59,2026,United States,102,102,United States,140000000.00,82.88000
Burkina Faso (RhPF-WCA),85,2026,Government of Canada,119,7,Canada,531582.71,4.50000
Afghanistan,23,2026,Government of Norway,12,17,Norway,1626325.16,2.60000
Sudan,15,2026,Estonia,49,49,Estonia,34364.26,0.01000
Ethiopia,53,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),2125.07,0.00000
South Sudan,19,2026,Government of Norway,12,17,Norway,1084216.77,0.62000
Syria,62,2026,Government of Norway,12,17,Norway,2168433.55,0.66000
Kenya (ESAHF),511,2026,United States,102,102,United States,150000000.00,100.00000
CAR,17,2026,Government of Germany,7,11,Germany,2378121.28,3.95000
Mali (RhPF-WCA),86,2026,Government of Luxembourg,10,15,Luxembourg,343642.61,3.20000
Colombia (RhPF-LAC),87,2026,United States,102,102,United States,200000000.00,98.97000
Mozambique (RhPF),89,2026,IRISH AID,23,13,Ireland,590318.77,0.39000
Afghanistan,23,2026,Government of Canada,119,7,Canada,956848.88,1.53000
Chad (RhPF-WCA),90,2026,Iceland,55,55,Iceland,121519.28,0.11000
Lebanon,71,2026,EUROPEAN UNION,105,105,European Commission,11162255.47,25.87000
Mozambique (RhPF),89,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,3286263.34,2.19000
oPt,67,2026,Sida,20,22,Sweden,3732078.44,6.02000
Myanmar,59,2026,New Zealand,80,80,New Zealand,3419017.50,2.02000
Ethiopia,53,2026,Government of Denmark,5,8,Denmark,3143022.29,2.42000
Syria Cross border,70,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),622.38,100.00000
Uganda (ESAHF),512,2026,United States,102,102,United States,150000000.00,100.00000
Venezuela,83,2026,Sida,20,22,Sweden,1386200.56,1.20000
Somalia,21,2026,Government of Canada,119,7,Canada,1417553.90,3.45000
Syria,62,2026,Government of Spain,15,21,Spain,2016129.03,0.62000
CAR,17,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,4032258.06,6.70000
Ukraine,81,2026,Government of Finland,6,10,Finland,3460207.61,0.82000
Burkina Faso (RhPF-WCA),85,2026,Iceland,55,55,Iceland,121519.28,1.03000
Afghanistan,23,2026,Government of Switzerland,16,24,Switzerland,1953125.00,3.12000
Ukraine,81,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,12299465.24,2.92000
Sudan,15,2026,Government of Canada,119,7,Canada,7087769.52,1.53000
Ukraine,81,2026,IRISH AID,23,13,Ireland,5714285.71,1.35000
Nigeria,75,2026,United States,102,102,United States,225000000.00,96.63000
Bangladesh (AP-RHPF),99,2026,United States,102,102,United States,300000000.00,100.00000
Syria,62,2026,Government of Belgium,4,6,Belgium,8196721.31,2.51000
Niger (RhPF-WCA),84,2026,Government of Denmark,5,8,Denmark,1046837.94,11.68000
Lebanon,71,2026,Greece,53,53,Greece,419859.49,0.97000
Nigeria,75,2026,Government of Germany,7,11,Germany,3567181.93,1.53000
Somalia,21,2026,IRISH AID,23,13,Ireland,4683840.75,11.39000
Afghanistan,23,2026,Government of Australia,2,3,Australia,6342120.68,10.14000
El Salvador (RhPF-LAC),509,2026,United States,102,102,United States,25000000.00,100.00000
Burkina Faso (RhPF-WCA),85,2026,Government of Denmark,5,8,Denmark,1046838.10,8.87000
Yemen,64,2026,Jersey,120,120,Jersey,276679.84,0.80000
Venezuela,83,2026,United States,102,102,United States,100000000.00,86.36000
Niger (RhPF-WCA),84,2026,Government of Canada,119,7,Canada,106316.54,1.19000
Chad (RhPF-WCA),90,2026,Government of Netherlands,11,16,Netherlands,5714285.71,5.39000
Asia Pacific Regional Envelope (RHPF-AP),501,2026,Government of Canada,119,7,Canada,354388.48,19.48000
DRC,24,2026,Government of Germany,7,11,Germany,2378121.28,0.58000
Somalia,21,2026,Government of Norway,12,17,Norway,1626325.16,3.95000
Lebanon,71,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),7610.16,0.02000
Haiti (RhPF-LAC),88,2026,Government of Germany,7,11,Germany,585480.09,0.29000
Yemen,64,2026,Government of Canada,119,7,Canada,1169481.97,3.37000
Sudan,15,2026,Government of Denmark,5,8,Denmark,2351323.47,0.51000
Ukraine,81,2026,Government of Spain,15,21,Spain,1958525.35,0.46000
Niger (RhPF-WCA),84,2026,Government of Germany,7,11,Germany,2378121.28,26.54000
oPt,67,2026,Iceland,55,55,Iceland,484274.40,0.78000
Sudan,15,2026,United States,102,102,United States,375000000.00,80.91000
Ethiopia,53,2026,IRISH AID,23,13,Ireland,1170960.19,0.90000
Yemen,64,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),6989.54,0.02000
oPt,67,2026,Government of Netherlands,11,16,Netherlands,18285714.29,29.49000
Ukraine,81,2026,Government of Germany,7,11,Germany,9512485.14,2.25000
Syria,62,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,10304287.69,3.16000
DRC,24,2026,Government of Canada,119,7,Canada,1771942.38,0.43000
CAR,17,2026,Government of Luxembourg,10,15,Luxembourg,286368.85,0.48000
Niger (RhPF-WCA),84,2026,Government of Norway,12,17,Norway,650530.06,7.26000
Myanmar,59,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),21693.43,0.01000
Lebanon,71,2026,Lithuania,67,67,Lithuania,58479.53,0.14000
DRC,24,2026,Government of Norway,12,17,Norway,1626325.16,0.40000
Ukraine,81,2026,Sida,20,22,Sweden,2665770.32,0.63000
Afghanistan,23,2026,Iceland,55,55,Iceland,402037.85,0.64000
CAR,17,2026,Government of Switzerland,16,24,Switzerland,1851851.85,3.08000
Lebanon,71,2026,Iceland,55,55,Iceland,487173.53,1.13000
Syria,62,2026,IRISH AID,23,13,Ireland,2857142.86,0.88000
Ukraine,81,2026,EUROPEAN UNION,105,105,European Commission,8055235.90,1.91000
Lebanon,71,2026,Monaco,76,76,Monaco,116959.06,0.27000
Myanmar,59,2026,Government of Luxembourg,10,15,Luxembourg,688867.01,0.41000
oPt,67,2026,Government of Luxembourg,10,15,Luxembourg,343642.61,0.55000
Venezuela,83,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),1885.56,0.00000
South Sudan,19,2026,Sida,20,22,Sweden,2132616.25,1.22000
Sudan,15,2026,United Arab Emirates,101,101,United Arab Emirates,5000000.00,1.08000
oPt,67,2026,IRISH AID,23,13,Ireland,4613583.14,7.44000
Ukraine,81,2026,Private Contributions,1011,,Private Contributions,10000.00,0.00000
Ukraine,81,2026,New Zealand,80,80,New Zealand,2833589.51,0.67000
Myanmar,59,2026,Sida,20,22,Sweden,2239247.06,1.33000
oPt,67,2026,Government of Poland,13,18,Poland,1048460.09,1.69000
Sudan,15,2026,Government of Poland,13,18,Poland,1092906.92,0.24000
Ethiopia,53,2026,Japan,60,60,Japan,333333.00,0.26000
Syria,62,2026,Government of Canada,119,7,Canada,2480719.33,0.76000
Lebanon,71,2026,Government of Cyprus,45,45,Cyprus,115482.23,0.27000
Myanmar,59,2026,Government of Finland,6,10,Finland,3460207.61,2.05000
Chad (RhPF-WCA),90,2026,Government of Norway,12,17,Norway,216843.35,0.20000
DRC,24,2026,IRISH AID,23,13,Ireland,4651162.79,1.14000
Myanmar,59,2026,Government of Australia,2,3,Australia,6686598.93,3.96000
Yemen,64,2026,Saudi Arabia,91,91,Saudi Arabia,3000000.00,8.63000
Mali (RhPF-WCA),86,2026,Government of Denmark,5,8,Denmark,1046838.10,9.75000
oPt,67,2026,Austria,31,31,Austria,3488372.09,5.63000
Sudan,15,2026,Sida,20,22,Sweden,3198924.38,0.69000
Colombia (RhPF-LAC),87,2026,Government of Spain,15,21,Spain,576036.87,0.29000
Somalia,21,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,4087255.69,9.94000
Venezuela,83,2026,Government of Switzerland,16,24,Switzerland,750938.67,0.65000
Syria,62,2026,Kuwait,64,64,Kuwait,1250000.00,0.38000
Lebanon,71,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,5347593.58,12.39000
Venezuela,83,2026,IRISH AID,23,13,Ireland,1162790.70,1.00000
CAR,17,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),8357.12,0.01000
Sudan,15,2026,Kuwait,64,64,Kuwait,1500000.00,0.32000
Nigeria,75,2026,Government of Switzerland,16,24,Switzerland,1032227.78,0.44000
Sudan,15,2026,Government of Norway,12,17,Norway,3252650.32,0.70000
Myanmar,59,2026,Japan,60,60,Japan,100000.00,0.06000
CAR,17,2026,United States,102,102,United States,50000000.00,83.13000
Afghanistan,23,2026,IRISH AID,23,13,Ireland,3436426.12,5.49000
Lebanon,71,2026,IRISH AID,23,13,Ireland,2290950.74,5.31000
Syria,62,2026,Government of Switzerland,16,24,Switzerland,4938271.60,1.51000
Ukraine,81,2026,Government of Poland,13,18,Poland,1213630.65,0.29000
CAR,17,2026,Jersey,120,120,Jersey,276679.84,0.46000
Lebanon,71,2026,Government of Norway,12,17,Norway,2675398.99,6.20000
Sudan,15,2026,Government of Luxembourg,10,15,Luxembourg,343642.61,0.07000
Myanmar,59,2026,Government of Germany,7,11,Germany,7611241.22,4.51000
Afghanistan,23,2026,Government of Germany,7,11,Germany,7962529.27,12.73000
Sudan,15,2026,Government of Netherlands,11,16,Netherlands,20571428.58,4.44000
Mozambique (RhPF),89,2026,United States,102,102,United States,145000000.00,96.70000
Lebanon,71,2026,Government of Luxembourg,10,15,Luxembourg,345622.12,0.80000
Yemen,64,2026,Government of Netherlands,11,16,Netherlands,18285714.29,52.61000
Niger (RhPF-WCA),84,2026,Iceland,55,55,Iceland,121519.28,1.36000
oPt,67,2026,Government of Denmark,5,8,Denmark,6092902.13,9.83000
Sudan,15,2026,Government of Germany,7,11,Germany,5852896.22,1.26000
Burkina Faso (RhPF-WCA),85,2026,Government of Belgium,4,6,Belgium,4655737.70,39.44000
Sudan,15,2026,Basque Agency for Development Cooperation,1025,194,Basque Agency for Development Cooperation,114285.71,0.02000
Afghanistan,23,2026,EUROPEAN UNION,105,105,European Commission,11507479.86,18.39000
Asia Pacific Regional Envelope (RHPF-AP),501,2026,Government of Australia,2,3,Australia,1464700.86,80.51000
South Sudan,19,2026,Government of Netherlands,11,16,Netherlands,12571428.58,7.18000
Venezuela,83,2026,Government of Germany,7,11,Germany,6899297.42,5.96000
Lebanon,71,2026,Bulgaria,581,145,Bulgaria,57537.40,0.13000
Yemen,64,2026,Kuwait,64,64,Kuwait,500000.00,1.44000
Somalia,21,2026,Government of Switzerland,16,24,Switzerland,3875968.99,9.42000
Nigeria,75,2026,Thailand,1027,196,Thailand,10000.00,0.00000
Somalia,21,2026,Government of Germany,7,11,Germany,2378121.28,5.78000
Pakistan,60,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),9133.29,100.00000
Haiti (RhPF-LAC),88,2026,Government of Spain,15,21,Spain,1036866.36,0.51000
South Sudan,19,2026,United States,102,102,United States,150000000.00,85.62000
Ukraine,81,2026,Government of Norway,12,17,Norway,8589472.29,2.04000
Ethiopia,53,2026,Government of Switzerland,16,24,Switzerland,624219.73,0.48000
Syria,62,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),7680.34,0.00000
Venezuela,83,2026,EUROPEAN UNION,105,105,European Commission,2057142.86,1.78000
